date,game_id,home_team_fl,team,PTS,ORebs,DRebs,AST,TO,STL,BLK,Fouls,fg_pct,three_pt_pct,ft_pct,efg,pace
11/10/2017,4440941,0,Our Lady of the Lake,68,11,11,13,17,10,3,25,34.4,27.800000000000004,84.2,42.6,75.36
11/10/2017,4440941,1,A&M-Corpus Christi,69,18,18,14,16,7,4,18,36.1,23.1,71,38.5,72.64
11/13/2017,4443823,0,A&M-Corpus Christi,46,10,10,9,10,1,2,19,36.199999999999996,16.7,25,38.800000000000004,59.76
11/13/2017,4443823,1, Baylor,70,12,12,13,8,4,6,13,47.199999999999996,26.3,62.5,51.9,59.56
11/15/2017,4444865,0,UTRGV,82,8,8,12,18,11,3,29,40.400000000000006,26.700000000000003,82.1,48.1,79.16
11/15/2017,4444865,1,A&M-Corpus Christi,75,9,9,9,20,3,2,27,45.1,42.9,71.89999999999999,51,76.08
11/19/2017,4448467,0,A&M-Corpus Christi,65,9,9,8,19,16,3,25,42.9,35.699999999999996,85.7,47.3,72.16
11/19/2017,4448467,1, Georgia,68,12,12,12,24,9,8,11,46.7,23.799999999999997,72.39999999999999,52.2,69.75999999999999
11/24/2017,4451046,0,A&M-Corpus Christi,58,9,9,9,25,8,1,20,40.400000000000006,70,52,47.9,74
11/24/2017,4451046,1, UTSA,72,9,9,17,24,13,4,22,53.2,39.1,65,62.8,70.8
11/29/2017,4454429,0,A&M-Corpus Christi,53,8,8,8,14,10,2,23,37,33.300000000000004,61.5,41.699999999999996,65.72
11/29/2017,4454429,1, Texas St.,66,12,12,15,22,5,4,12,50,35,62.5,57.99999999999999,64.56
12/01/2017,4455334,0,Texas Lutheran,42,7,7,11,22,8,2,13,27.700000000000003,21.7,73.3,33,68.6
12/01/2017,4455334,1,A&M-Corpus Christi,80,12,12,14,11,15,2,14,52.400000000000006,25,76.9,55.60000000000001,67.72
12/06/2017,4458467,0,A&M-Corpus Christi,78,9,9,16,15,3,3,18,53.400000000000006,41.699999999999996,64.7,57.8,71.48
12/06/2017,4458467,1, UTRGV,82,8,8,18,11,6,1,15,48.4,42.9,86.7,55.60000000000001,71.6
12/15/2017,4462882,0,St. Mary's (TX),55,7,7,9,18,7,1,24,34.8,38.1,60,43.5,68
12/15/2017,4462882,1,A&M-Corpus Christi,71,8,8,14,13,11,2,24,48.9,50,58.8,54.300000000000004,66.96000000000001
12/19/2017,4464364,0,A&M-Corpus Christi,63,10,10,19,14,6,1,21,42.6,50,66.7,48.4,67.64
12/19/2017,4464364,1, Ole Miss,85,9,9,25,15,8,10,12,53.800000000000004,46.7,71.39999999999999,67.30000000000001,67.24000000000001
12/28/2017,4465618,0,A&M-Corpus Christi,69,12,12,9,19,7,2,22,41.5,44.4,75,45.300000000000004,72.32
12/28/2017,4465618,1, Central Ark.,81,10,10,14,14,8,7,20,46.400000000000006,35.3,71.89999999999999,51.800000000000004,74.08
12/30/2017,4467051,0,Lamar University,77,10,10,16,10,7,2,18,49.1,42.9,53.800000000000004,57.3,66.44
12/30/2017,4467051,1,A&M-Corpus Christi,72,16,16,12,12,4,3,20,38.800000000000004,27.3,82.39999999999999,43.3,70.48
01/03/2018,4474883,0,Northwestern St.,65,10,10,13,13,7,2,22,41.8,38.1,61.1,49.1,65.92
01/03/2018,4474883,1,A&M-Corpus Christi,67,8,8,11,18,7,4,14,50,14.299999999999999,78.60000000000001,51.1,66.32
01/10/2018,4475386,0,Sam Houston St.,82,13,13,13,11,5,1,28,45.800000000000004,33.300000000000004,64.5,52.5,70.64
01/10/2018,4475386,1,A&M-Corpus Christi,50,10,10,8,20,4,3,25,31.2,18.2,61.5,35.4,69.44
01/13/2018,4474494,0,A&M-Corpus Christi,55,12,12,9,19,7,8,27,39.6,30,58.8,42.5,67.48
01/13/2018,4474494,1, New Orleans,61,14,14,11,15,12,5,20,33.300000000000004,54.50000000000001,61.8,39.2,66.96000000000001
01/16/2018,4475923,0,A&M-Corpus Christi,61,12,12,8,26,8,3,25,35.8,21.4,66.7,38.7,80.2
01/16/2018,4475923,1, Nicholls St.,91,10,10,20,21,11,5,24,54.7,43.5,74.2,64.2,77.64
01/24/2018,4481151,0,Abilene Christian,66,8,8,12,19,11,0,22,35.3,26.1,80,41.199999999999996,75.2
01/24/2018,4481151,1,A&M-Corpus Christi,80,6,6,14,26,12,2,25,51.1,47.8,92,63.3,76
01/27/2018,4493955,0,Houston Baptist,69,11,11,14,13,7,0,20,39.1,32.1,62.5,46.1,73.04
01/27/2018,4493955,1,A&M-Corpus Christi,79,10,10,16,13,9,5,18,49.2,35.699999999999996,63.6,53.300000000000004,73.68
01/31/2018,4484381,0,A&M-Corpus Christi,67,7,7,12,16,3,4,18,46,46.7,100,53,65.16
