pitch_x,pitch_y,pitch_type,strike
97,-31,FB,0
26,77,FB,0
-59,-105,FB,0
48,-25,FB,1
101,43,BRK,0
33,1,BRK,1
-1,-114,BRK,0
87,48,FB,0
90,80,FB,0
55,-12,FB,1
8,139,BRK,0
-38,-113,BRK,0
-74,-59,FB,0
100,116,FB,0
11,135,FB,0
89,122,FB,0
-54,-75,FB,1
107,125,FB,0
-96,-80,FB,0
-7,106,FB,0
29,-7,FB,1
-100,-98,BRK,0
79,-77,FB,0
-8,-139,FB,0
61,-14,FB,1
-71,-25,FB,0
82,-21,FB,0
1,-105,FB,0
-72,115,FB,0
70,131,FB,0
-77,-117,BRK,0
-54,-120,FB,0
67,111,FB,0
-38,-36,FB,1
-6,105,BRK,0
101,79,BRK,0
106,134,FB,0
77,-113,FB,0
43,-53,FB,1
104,-74,FB,0
-78,-59,FB,0
-91,-81,FB,0
-35,-55,FB,1
7,114,FB,0
87,-64,FB,0
41,-40,FB,1
-29,-64,BRK,1
-19,-101,FB,0
63,106,FB,0
-73,-114,FB,0
28,-67,CHG,1
-25,-105,BRK,0
-1,-112,BRK,0
-41,-35,FB,1
16,117,FB,0
11,138,FB,0
25,-124,FB,0
-78,87,BRK,0
98,116,BRK,0
40,-31,FB,1
-98,-108,FB,0
-82,-41,FB,0
73,108,FB,0
86,-2,FB,0
-47,-64,FB,1
-35,-43,FB,1
-84,-29,FB,0
33,-35,CHG,1
132,99,BRK,0
110,4,FB,0
-25,-109,FB,0
97,-108,FB,0
42,5,BRK,0
92,-42,FB,0
-113,-91,BRK,0
-78,-94,CHG,0
-62,-92,FB,1
-64,-95,FB,0
48,-48,FB,1
22,110,FB,0
28,132,FB,0
-46,-68,FB,1
27,-32,BRK,1
59,105,FB,0
-66,-53,FB,0
-37,145,FB,0
98,181,FB,0
46,-46,FB,1
14,122,FB,0
-38,-40,FB,1
-30,-52,FB,1
19,-116,CHG,0
3,-32,FB,1
-3,61,FB,1
-100,-104,FB,0
-88,-93,BRK,0
35,-127,FB,0
103,-115,FB,0
-50,-122,FB,0
-28,0,FB,1
-103,-119,FB,0
-87,-77,FB,0
-77,-84,FB,0
36,10,FB,1
80,122,FB,0
-23,-67,FB,1
-49,-55,FB,0
-85,-69,FB,0
-48,109,FB,0
15,-129,FB,0
-44,102,FB,0
-44,-35,FB,1
82,-93,BRK,0
116,-96,BRK,0
-1,-138,FB,0
-26,38,FB,1
54,62,FB,1
-35,-35,FB,1
68,-54,FB,0
-34,-102,FB,0
-9,124,FB,0
-22,-14,FB,1
-62,-110,BRK,0
-69,-59,FB,0
-2,-109,FB,0
-42,-122,FB,0
15,-117,FB,0
-90,92,FB,0
92,-63,FB,0
9,-16,FB,1
99,-103,BRK,0
52,-24,FB,0
-58,-108,FB,0
-38,-60,FB,1
29,122,FB,0
-91,-91,BRK,0
-77,-88,FB,0
-44,-59,BRK,1
33,-108,FB,0
80,-103,FB,0
16,-40,BRK,1
-38,-117,BRK,0
-51,-41,FB,1
-31,-135,FB,0
29,-34,BRK,1
-16,-49,BRK,1
-74,-63,FB,0
35,-14,FB,1
89,-97,BRK,0
67,94,FB,0
61,-63,FB,1
22,-69,FB,1
-3,-107,BRK,0
64,-55,FB,1
-93,-126,FB,0
-58,-103,FB,0
0,0,FB,1
111,143,BRK,0
-44,-49,FB,0
130,121,BRK,0
-70,-80,FB,0
-21,-107,FB,0
-96,-129,FB,0
-79,-66,FB,0
86,-88,FB,0
2,-54,FB,1
-59,113,FB,0
80,-97,FB,0
26,-19,FB,1
-79,106,FB,0
31,116,FB,0
75,-40,FB,0
73,76,FB,0
-31,-98,BRK,0
-35,-2,FB,1
-74,-95,FB,0
84,-97,FB,0
-66,104,FB,0
-48,106,FB,0
-6,109,FB,0
-30,103,FB,0
-57,-6,FB,1
3,-6,FB,0
21,116,FB,0
9,-12,FB,1
92,-31,FB,0
8,60,BRK,1
37,-113,FB,0
33,-100,FB,0
34,72,BRK,1
76,-115,BRK,0
49,1,FB,0
36,9,BRK,1
63,-103,BRK,0
33,-6,FB,1
-29,-108,FB,0
46,-48,FB,1
-30,-90,BRK,0
-81,16,FB,0
-30,-102,CHG,0
69,109,FB,0
-67,112,BRK,0
-54,-43,FB,1
-10,-104,CHG,0
41,116,FB,0
67,110,FB,0
18,-1,FB,1
-15,-96,CHG,0
87,-55,FB,0
-13,-66,FB,1
-21,-100,CHG,0
61,-105,CHG,0
82,-6,FB,0
20,48,BRK,0
62,-104,FB,0
-30,-29,FB,1
-21,101,BRK,0
-89,-1,FB,0
-30,48,FB,1
-58,112,FB,0
33,-104,BRK,0
12,108,FB,0
-19,120,FB,0
-8,-68,FB,1
24,14,BRK,1
34,-10,BRK,1
74,-97,BRK,0
-44,-14,FB,0
4,101,FB,0
32,13,FB,1
-10,-103,BRK,0
-43,106,FB,0
-16,3,FB,1
14,-16,BRK,1
-77,108,FB,0
4,-50,FB,1
-9,-55,FB,1
67,40,FB,0
-52,-6,FB,1
49,97,FB,0
28,-102,BRK,0
42,-105,FB,0
-25,72,FB,1
81,28,BRK,0
41,17,FB,1
24,-110,FB,0
30,-14,FB,0
50,1,FB,1
-10,41,BRK,0
23,31,BRK,1
23,2,FB,1
-9,97,BRK,0
0,-57,FB,1
-40,18,FB,1
18,-93,BRK,1
60,109,FB,0
86,-99,BRK,0
2,-35,FB,1
66,-100,BRK,1
75,-96,FB,0
4,-45,FB,1
-5,104,BRK,0
83,-8,BRK,0
51,-74,FB,1
44,-96,FB,0
51,4,CHG,1
72,-102,FB,0
-1,103,FB,0
75,-88,FB,0
-29,-52,FB,1
33,-109,CHG,0
-7,-35,FB,1
-84,102,FB,0
53,67,FB,1
31,38,FB,1
19,-91,BRK,0
-65,-64,FB,0
13,-96,FB,1
11,-98,CHG,0
-88,2,BRK,0
75,32,FB,0
37,60,BRK,1
-32,24,FB,1
-78,-37,BRK,0
17,108,FB,0
-33,-82,FB,1
-76,-83,BRK,0
-70,-42,FB,1
82,-32,FB,0
69,93,FB,0
67,-72,FB,1
-80,-71,BRK,0
19,-108,FB,0
65,-98,FB,0
83,31,FB,0
84,-20,FB,0
58,-72,FB,1
-44,9,FB,1
-76,-29,FB,0
62,-93,BRK,1
10,-91,BRK,0
1,-47,FB,1
10,-54,FB,1
76,-93,BRK,0
-20,4,FB,1
28,-20,FB,1
-73,91,FB,0
-64,104,FB,0
-35,-94,FB,0
77,4,FB,0
12,-4,FB,1
-65,-64,FB,1
-25,-93,BRK,0
5,-10,FB,0
4,47,FB,1
-69,106,FB,0
79,-15,FB,0
-29,-113,BRK,0
-50,13,FB,1
-57,110,FB,0
9,63,FB,1
33,-83,BRK,0
-3,-114,BRK,0
15,-103,FB,0
-65,-97,BRK,0
-2,-99,FB,0
44,12,FB,1
-10,-9,FB,1
-74,114,FB,0
-76,118,FB,0
46,-102,FB,0
34,-108,FB,0
17,28,FB,1
38,-103,FB,0
-47,70,FB,1
-62,-68,FB,1
-71,-103,FB,0
-45,-99,BRK,0
64,98,FB,0
-58,-98,BRK,0
-42,-98,BRK,0
-7,111,FB,0
8,69,FB,1
82,-4,FB,0
-15,-102,BRK,0
25,-102,FB,0
13,109,FB,0
35,-103,FB,0
31,-4,BRK,1
32,-96,FB,0
-74,106,BRK,0
-40,5,BRK,0
