fg_pct_diff,rebs_diff,TO_diff,score_diff
0.16000000000000003,-1,-4,13
0,11,4,-1
0.020000000000000018,23,5,18
-0.010000000000000009,4,3,-2
0.06,15,-3,18
-0.010000000000000009,-3,1,1
0.31,10,-5,42
-0.020000000000000018,9,-1,-3
-0.03999999999999998,3,0,1
0.14999999999999997,30,3,31
0.07,0,5,6
0.14,18,-2,32
0.11000000000000004,-1,5,-2
0.24,16,6,25
0.14,7,-4,34
0.09999999999999998,12,2,20
-0.16999999999999998,-1,0,-13
0.25000000000000006,12,-6,44
-0.040000000000000036,-7,-6,-3
0.21000000000000002,16,2,31
-0.020000000000000018,-15,-7,-6
0.030000000000000027,4,-7,18
0.13,-2,-9,27
0.12,-4,-12,20
-0.04999999999999999,12,0,8
0.020000000000000018,-5,-4,9
-0.10999999999999999,0,-6,-11
-0.18,-14,-6,-18
0.020000000000000018,-4,-6,3
-0.07,21,0,10
0.10999999999999999,18,1,9
0.13,24,-7,35
-0.09000000000000002,7,-3,10
-0.019999999999999962,6,7,-9
0.08000000000000002,3,-8,11
0.06000000000000005,7,1,11
-0.010000000000000009,5,2,-3
0.18,34,1,39
0.08999999999999997,7,-3,17
0.08000000000000002,5,-6,6
-0.07,1,-4,-2
0.010000000000000009,-17,-4,-12
0.17000000000000004,8,-6,37
0.09000000000000002,11,-12,27
0.13000000000000006,6,5,13
0,7,2,-2
0.33000000000000007,9,-4,41
-0.12,-1,-8,5
0.11000000000000004,3,-2,12
0.07,7,-1,11
0.27999999999999997,24,7,24
0.019999999999999962,11,-7,27
0.13999999999999996,27,3,27
0.13,-5,-4,18
0.12,8,2,14
0.10999999999999999,15,2,18
0.18000000000000005,8,2,9
0,23,16,-3
-0.08000000000000007,4,-2,2
-0.010000000000000009,4,3,-8
-0.02999999999999997,3,-2,12
0.10000000000000003,1,-8,17
0.24,11,-6,29
0.22999999999999998,22,8,22
0.12,17,1,24
0.07,-4,1,12
0,1,0,-3
0.13,8,-6,22
0.09999999999999998,22,-2,31
0.18000000000000005,9,-5,34
0.13,-1,-5,17
0.020000000000000018,0,-8,15
0.16999999999999998,5,0,28
0.040000000000000036,-7,3,1
-0.030000000000000027,-2,1,-8
0.21000000000000002,15,0,41
0.17000000000000004,5,-4,23
-0.010000000000000009,2,-6,2
0.04999999999999999,-17,-13,12
0.16999999999999998,12,8,11
-0.010000000000000009,-6,-6,-3
0,-4,-1,-1
0.24,18,7,17
0.07,6,-5,10
0.13,-4,2,9
0.019999999999999962,-1,6,1
0.06,3,-7,12
0.13,5,4,4
0.06,2,2,10
0.07,6,2,13
0.08000000000000002,-3,-2,4
-0.18000000000000005,-3,-3,-15
0.34,18,5,40
0.06,3,1,4
-0.03999999999999998,-1,8,-5
0.04999999999999999,8,5,2
0.22999999999999998,19,2,38
-0.030000000000000027,12,-3,11
0,-5,0,-3
0.12,9,-5,25
0.03999999999999998,10,-6,14
0.22,6,-5,39
0.19,16,-1,37
0.14999999999999997,29,-4,38
-0.19000000000000006,8,-6,-2
-0.020000000000000018,23,7,5
0.08999999999999997,11,4,6
0.09000000000000002,3,0,12
0.03999999999999998,21,-15,46
